Cloudflare IP Optimizer — 完整测试结果
测试时间: 2026-06-14 09:19:38
成功: 2545 / 失败: 5585 / 总计: 8130

======================================================================
IP                                               延迟   Colo   Loc     状态码
----------------------------------------------------------------------
172.64.185.24                                 29.9ms    IAD    US     200
172.64.187.227                                29.9ms    IAD    US     200
141.193.213.197                               30.1ms    IAD    US     200
172.64.176.156                                30.4ms    IAD    US     200
154.83.2.120                                  30.8ms    IAD    US     200
147.78.140.212                                30.9ms    IAD    US     200
147.185.161.25                                31.7ms    IAD    US     200
172.64.186.177                                31.9ms    IAD    US     200
172.64.189.249                                32.8ms    IAD    US     200
172.64.184.119                                33.1ms    IAD    US     200
172.64.188.213                                33.4ms    IAD    US     200
172.64.159.149                                37.6ms    IAD    US     200
141.101.113.96                                38.1ms    IAD    US     200
104.31.16.178                                 42.4ms    IAD    US     200
172.64.156.251                                45.2ms    IAD    US     200
104.18.10.203                                 45.4ms    IAD    US     200
172.64.150.159                                45.6ms    IAD    US     200
172.64.144.245                                46.1ms    IAD    US     200
141.101.114.81                                46.4ms    IAD    US     200
8.35.211.136                                  46.9ms    IAD    US     200
141.101.115.175                               46.9ms    IAD    US     200
172.64.149.170                                47.2ms    IAD    US     200
172.64.154.210                                47.2ms    IAD    US     200
172.64.147.207                                47.5ms    IAD    US     200
172.64.158.237                                47.5ms    IAD    US     200
104.24.45.57                                  48.2ms    IAD    US     200
172.64.229.105                                48.4ms    IAD    US     200
141.11.203.112                                48.4ms    IAD    US     200
104.21.126.79                                 48.9ms    IAD    US     200
141.11.202.124                                49.0ms    IAD    US     200
104.21.37.77                                  49.8ms    IAD    US     200
104.21.2.243                                  50.3ms    IAD    US     200
104.24.3.34                                   50.5ms    IAD    US     200
172.64.151.200                                50.5ms    IAD    US     200
162.159.0.2                                   50.8ms    IAD    US     200
172.64.152.111                                51.3ms    IAD    US     200
172.64.146.129                                52.1ms    IAD    US     200
104.21.15.222                                 52.3ms    IAD    US     200
172.64.157.144                                52.5ms    IAD    US     200
172.64.153.123                                52.6ms    IAD    US     200
104.21.105.90                                 53.3ms    IAD    US     200
162.159.1.253                                 53.5ms    IAD    US     200
8.34.70.129                                   54.4ms    IAD    US     200
104.24.23.67                                  54.7ms    IAD    US     200
104.21.20.192                                 55.0ms    IAD    US     200
108.162.193.5                                 55.2ms    IAD    US     200
172.64.155.72                                 55.2ms    IAD    US     200
104.21.97.15                                  55.5ms    IAD    US     200
104.24.49.62                                  55.5ms    IAD    US     200
104.21.88.116                                 56.0ms    IAD    US     200
104.21.38.36                                  56.4ms    IAD    US     200
104.24.29.254                                 56.4ms    IAD    US     200
104.21.61.22                                  57.3ms    IAD    US     200
108.162.192.212                               58.2ms    IAD    US     200
104.24.37.212                                 59.2ms    IAD    US     200
104.24.69.104                                 60.0ms    IAD    US     200
104.21.114.118                                60.4ms    IAD    US     200
108.162.194.139                               60.8ms    IAD    US     200
104.21.127.142                                61.5ms    IAD    US     200
104.21.24.102                                 61.7ms    IAD    US     200
104.21.107.198                                61.8ms    IAD    US     200
172.64.148.136                                61.9ms    IAD    US     200
104.21.116.47                                 62.3ms    IAD    US     200
104.24.57.63                                  62.3ms    IAD    US     200
141.101.121.252                               62.5ms    IAD    US     200
162.159.2.15                                  63.4ms    IAD    US     200
104.21.63.57                                  63.7ms    IAD    US     200
104.24.9.236                                  63.8ms    IAD    US     200
104.21.45.7                                   64.9ms    IAD    US     200
104.24.66.68                                  65.0ms    IAD    US     200
104.21.124.77                                 65.9ms    IAD    US     200
104.24.128.31                                 66.1ms    IAD    US     200
104.24.0.175                                  66.3ms    IAD    US     200
154.92.9.213                                  66.5ms    IAD    US     200
104.21.8.116                                  66.6ms    IAD    US     200
104.21.101.220                                66.7ms    IAD    US     200
108.162.196.60                                66.9ms    IAD    US     200
104.21.59.35                                  67.2ms    IAD    US     200
104.21.125.68                                 67.5ms    IAD    US     200
108.162.195.69                                68.1ms    IAD    US     200
104.24.36.236                                 68.6ms    IAD    US     200
104.21.26.23                                  68.9ms    IAD    US     200
104.21.89.245                                 68.9ms    IAD    US     200
104.21.95.34                                  68.9ms    IAD    US     200
104.24.8.231                                  69.4ms    IAD    US     200
172.64.232.108                                69.8ms    IAD    US     200
172.64.145.248                                70.2ms    IAD    US     200
104.24.47.56                                  70.4ms    IAD    US     200
104.24.51.172                                 70.4ms    IAD    US     200
108.162.198.16                                70.4ms    IAD    US     200
104.21.27.254                                 70.5ms    IAD    US     200
104.24.19.82                                  70.5ms    IAD    US     200
172.64.234.198                                70.6ms    IAD    US     200
141.101.123.55                                70.9ms    IAD    US     200
104.21.115.123                                71.2ms    IAD    US     200
104.21.122.155                                71.3ms    IAD    US     200
104.21.14.182                                 71.6ms    IAD    US     200
104.21.50.27                                  71.7ms    IAD    US     200
104.21.29.112                                 72.2ms    IAD    US     200
104.21.35.98                                  72.3ms    IAD    US     200
104.21.55.32                                  72.4ms    IAD    US     200
104.21.99.73                                  72.4ms    IAD    US     200
8.39.204.65                                   72.5ms    IAD    US     200
104.21.54.253                                 72.9ms    IAD    US     200
104.21.52.254                                 73.3ms    IAD    US     200
154.197.64.144                                73.3ms    IAD    US     200
104.24.58.86                                  74.0ms    IAD    US     200
104.21.77.182                                 74.4ms    IAD    US     200
104.24.24.120                                 74.8ms    IAD    US     200
104.24.61.50                                  75.3ms    IAD    US     200
104.24.65.180                                 75.5ms    IAD    US     200
104.21.109.88                                 76.3ms    IAD    US     200
104.24.54.107                                 76.4ms    IAD    US     200
104.21.110.41                                 76.5ms    IAD    US     200
104.21.41.23                                  76.9ms    IAD    US     200
104.21.62.214                                 76.9ms    IAD    US     200
104.24.40.42                                  76.9ms    IAD    US     200
141.101.120.83                                76.9ms    IAD    US     200
172.64.235.106                                76.9ms    IAD    US     200
104.21.72.7                                   77.1ms    IAD    US     200
104.24.16.46                                  77.3ms    IAD    US     200
104.21.71.61                                  77.4ms    IAD    US     200
104.21.79.179                                 77.5ms    IAD    US     200
104.21.1.62                                   77.9ms    IAD    US     200
